rank,symbol,date,close,dma_200,distance_to_200dma_pct,dma_50,rsi_14,volume_ratio,break_below_date,breakdown_low,recovery_from_breakdown_low_pct,score,setup,recovery_candidate,reasons,high_52w,distance_to_52w_high_pct,high_2y,distance_to_2y_high_pct,high_level_score,high_level_setup,high_level_candidate,high_level_reasons,combined_setup,pe_ratio,pb_ratio,eps,dividend_yield,market_cap,roe,roce,operating_margin,net_profit_margin,debt_to_equity,current_ratio,quick_ratio,interest_coverage,revenue_growth,eps_growth,profit_growth,fundamental_score
427,SUNTV,2026-08-14,484.6,552.59,-12.3,503.88,41.3,0.73,,,,0,NOT A RECOVERY,False,,660.7,-26.65,853.7,-43.24,0,NORMAL,False,,NONE,12.564169,1.5072813,38.57,413.0,190973411328.0,,,49.929002,34.06,0.837,,,,26.700000000000003,17.0,17.0,88
428,RAILTEL,2026-08-14,282.15,320.97,-12.09,302.39,36.51,0.37,,,,0,NOT A RECOVERY,False,,412.9,-31.67,516.75,-45.4,0,NORMAL,False,,NONE,26.17347,4.003888,10.78,114.99999999999999,90552770560.0,16.253999999999998,,10.985,8.096,2.817,1.32,1.23,,27.6,25.2,25.2,63
429,EMAMILTD,2026-08-14,403.3,458.35,-12.01,405.59,47.71,0.45,,,,0,NOT A RECOVERY,False,,634.2,-36.41,860.0,-53.1,0,NORMAL,False,,NONE,23.529755,6.020571,17.14,298.0,176040443904.0,,,17.65,19.117,5.541,,,,14.899999999999999,-16.2,-16.2,42
430,JUBLPHARMA,2026-08-14,865.8,981.21,-11.76,965.24,30.0,1.07,,,,0,NOT A RECOVERY,False,,1184.8,-26.92,1309.9,-33.9,0,NORMAL,False,,NONE,40.1577,1.9333919,21.56,57.99999999999999,137131606016.0,,,6.2509999999999994,4.086,50.943,,,,18.3,-45.0,-45.0,30
431,ICICIGI,2026-08-14,1630.0,1845.97,-11.7,1727.27,41.39,0.32,,,,0,NOT A RECOVERY,False,,2064.9,-21.06,2301.9,-29.19,0,NORMAL,False,,NONE,33.712513,4.7736053,48.35,86.0,814229487616.0,14.63,,7.438000000000001,8.764,,0.283,0.013,,10.9,-46.2,-46.2,33
432,IGL,2026-08-14,151.7,171.77,-11.69,157.82,44.05,0.69,,,,0,NOT A RECOVERY,False,,223.5,-32.13,285.17,-46.8,0,NORMAL,False,,NONE,16.615553,1.8446236,9.13,307.0,212380221440.0,13.926,,6.922000000000001,9.585,0.848,1.155,1.084,,5.4,-25.2,-25.2,50
433,GPIL,2026-08-14,235.43,264.46,-10.98,256.34,40.92,1.13,,,,0,NOT A RECOVERY,False,,320.0,-26.43,320.0,-26.43,0,NORMAL,False,,NONE,19.376955,2.489742,12.15,42.0,153170149376.0,,,16.206,13.886999999999999,7.582,,,,32.300000000000004,-3.9,-3.9,54
434,CENTRALBK,2026-08-14,31.4,35.23,-10.86,31.83,48.32,0.55,,,,0,NOT A RECOVERY,False,,40.92,-23.26,61.9,-49.27,0,NORMAL,False,,NONE,6.230159,0.6947671,5.04,442.0,284214001664.0,11.560000500000001,,39.668998,27.839002,,,,,-3.2,2.8000000000000003,2.8000000000000003,58
435,UTIAMC,2026-08-14,908.05,1018.03,-10.8,934.11,45.41,0.18,,,,0,NOT A RECOVERY,False,,1418.0,-35.96,1494.8,-39.25,0,NORMAL,False,,NONE,25.378704,2.5907276,35.78,441.0,116719681536.0,,,63.324000000000005,26.583000000000002,3.129,,,,6.7,24.0,24.0,62
436,BANKBARODA,2026-08-14,248.22,278.03,-10.72,257.54,48.1,0.86,,,,0,NOT A RECOVERY,False,,325.5,-23.74,325.5,-23.74,0,NORMAL,False,,NONE,7.061735,0.76145077,35.15,342.0,1283635544064.0,11.3170005,,45.536998000000004,27.392,,,,,18.0,-48.6,-48.6,64
